French,Français
parcel,parcelle
France,la France
United Kingdom,le Royaume-Uni
Germany,l'Allemagne
Ireland,l'Irlande
Netherlands,les Pays-Bas
Belgium,la Belgique
Denmark,le Danemark
Sweden,la Suede
Norway,la Norveige
Finland,la Finlande
Russia,la Russie
Estonia,l'Estonie
Lithuania,la Lithuanie
Latvia,la Lettonie
Poland,la Pologne
Iceland,l'Islande
to,pour
London,Londres
Paris,Paris
Manchester,Manchester
Glasgow,Glasgow
Cardiff,Cardiff
Belfast,Belfast
Berlin,Berlin
Amsterdam,Amsterdam
Marseille,Marseille
Nice,Nice
Lille,Lille
Munich,Munich
Leipzig,Leipsick
Cologne,Cologne
Rotterdam,Rotterdam
The Hague,la Haye
