Dutch,Nederlands
parcel,pakket
France,Frankrijk
United Kingdom,Verenigd Koningkrijk
Germany,Duitsland
Ireland,Ierland
Netherlands,Nederland
Belgium,België
Denmark,Denemarken
Sweden,Zweden
Norway,Noorwegen
Finland,Finland
Russia,Rusland
Estonia,Estland
Lithuania,Litouwen
Latvia,Letland
Poland,Polen
Iceland,IJsland
to,naar
London,Londen
Paris,Parijs
Manchester,Manchester
Glasgow,Glasgow
Cardiff,Cardiff
Belfast,Belfast
Berlin,Berlijn
Amsterdam,Amsterdam
Marseille,Marseille
Nice,Nice
Lille,Rijsel
Munich,München
Leipzig,Leipzig
Cologne,Keulen
Rotterdam,Rotterdam
The Hague,'s-Gravenhage
